Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
16.630, 2.341000000E+001, 3.860035275E-004, 3.116931599E-006, 1.765483390E-003, 3.328934189E+002, -3.045310033E-003, 7.747394964E-003, 1.786031243E-003
16.730, 2.351000000E+001, 5.433297344E-004, 3.206496241E-006, 1.790669216E-003, 3.327659350E+002, -2.490696497E-003, 6.949156057E-003, 1.850269228E-003
16.830, 2.361000000E+001, 7.805366044E-004, 3.297095791E-006, 1.815790679E-003, 3.330459249E+002, -2.319181571E-003, 9.608037770E-003, 1.955994941E-003
16.930, 2.371000000E+001, 1.136159220E-003, 3.290321644E-006, 1.813924377E-003, 3.329540884E+002, -2.007692819E-003, 7.537297904E-003, 2.121538986E-003
17.030, 2.381000000E+001, 6.343261333E-004, 3.993324061E-006, 1.998330318E-003, 3.330404470E+002, -2.297088737E-003, 8.983217180E-003, 2.073233117E-003
17.130, 2.391000000E+001, 8.462985202E-004, 3.747574809E-006, 1.935865390E-003, 3.331957351E+002, -2.560888650E-003, 8.395026438E-003, 2.091026478E-003
17.230, 2.401000000E+001, 4.783134166E-004, 4.152863147E-006, 2.037857489E-003, 3.327908599E+002, -2.615982667E-003, 9.074754082E-003, 2.068902493E-003
17.330, 2.411000000E+001, 4.825342827E-004, 3.928371771E-006, 1.982012051E-003, 3.331177749E+002, -2.799226437E-003, 8.803364821E-003, 2.016283006E-003
17.430, 2.421000000E+001, 5.480175250E-004, 3.911898680E-006, 1.977852037E-003, 3.330446401E+002, -1.853229594E-003, 9.807237424E-003, 2.028992293E-003
17.530, 2.431000000E+001, 2.050681587E-004, 3.195732846E-006, 1.787661278E-003, 3.330359675E+002, -3.199426457E-003, 8.001947775E-003, 1.777594187E-003
17.630, 2.441000000E+001, 3.066699865E-004, 2.734355238E-006, 1.653588594E-003, 3.328376889E+002, -3.226221073E-003, 7.162616588E-003, 1.661839381E-003
17.730, 2.451000000E+001, 8.400874692E-004, 4.609118751E-006, 2.146885826E-003, 3.330951413E+002, -2.702562604E-003, 1.033465378E-002, 2.280887585E-003
17.830, 2.461000000E+001, 5.697398259E-004, 3.100673861E-006, 1.760873039E-003, 3.331858793E+002, -1.643880154E-003, 7.448197342E-003, 1.830205218E-003
17.930, 2.471000000E+001, 4.466948715E-004, 4.054436852E-006, 2.013563223E-003, 3.328085764E+002, -2.079039579E-003, 1.039519813E-002, 2.038402427E-003
18.030, 2.481000000E+001, 8.110143132E-004, 2.865368326E-006, 1.692739887E-003, 3.329802893E+002, -2.199942246E-003, 6.942440756E-003, 1.858285637E-003
