Timestamp, Time, Mean, Variance, Deviation
29.37000, 8.100000000E+001, 2.138707947E-004, 1.685957846E-006, 1.298444395E-003
29.47000, 8.110000000E+001, 3.181092372E-004, 1.673419977E-006, 1.293607350E-003
29.57000, 8.120000000E+001, -1.555791884E-005, 1.740285324E-006, 1.319198743E-003
29.67000, 8.130000000E+001, -2.925414139E-004, 1.685688075E-006, 1.298340508E-003
29.77000, 8.140000000E+001, 1.623765365E-004, 1.702045617E-006, 1.304624703E-003
29.87000, 8.150000000E+001, 1.155378550E-004, 1.718452187E-006, 1.310897474E-003
29.97000, 8.160000000E+001, 4.148025729E-004, 1.729126649E-006, 1.314962604E-003
30.07000, 8.170000000E+001, 6.433338476E-004, 1.641788514E-006, 1.281322955E-003
30.17000, 8.180000000E+001, 3.386542942E-005, 1.654352374E-006, 1.286216301E-003
30.27000, 8.190000000E+001, -2.593248218E-005, 1.708094334E-006, 1.306940830E-003
30.37000, 8.200000000E+001, 2.790807341E-004, 1.731078352E-006, 1.315704508E-003
30.47000, 8.210000000E+001, -9.423958086E-005, 1.717384679E-006, 1.310490244E-003
30.57000, 8.220000000E+001, 2.089294062E-004, 1.726352914E-006, 1.313907498E-003
30.67000, 8.230000000E+001, -1.654499473E-004, 1.761491003E-006, 1.327211740E-003
30.77000, 8.240000000E+001, -1.879814461E-004, 1.680685939E-006, 1.296412719E-003
30.87000, 8.250000000E+001, 2.404499920E-004, 1.707087438E-006, 1.306555562E-003
30.97000, 8.260000000E+001, 7.385994763E-004, 1.771087151E-006, 1.330821983E-003
31.07000, 8.270000000E+001, 1.040500307E-004, 1.666994698E-006, 1.291121489E-003
31.17000, 8.280000000E+001, 1.377206478E-004, 1.693426587E-006, 1.301317251E-003
31.27000, 8.290000000E+001, 3.035165065E-004, 1.713467608E-006, 1.308994884E-003
31.37000, 8.300000000E+001, 2.401241563E-004, 1.784419946E-006, 1.335821824E-003
31.47000, 8.310000000E+001, 3.894536063E-004, 1.628268533E-006, 1.276036258E-003
31.57000, 8.320000000E+001, -3.058186432E-004, 1.699317046E-006, 1.303578554E-003
31.67000, 8.330000000E+001, 1.162138369E-004, 1.671793140E-006, 1.292978399E-003
31.77000, 8.340000000E+001, -2.050145163E-004, 1.702072065E-006, 1.304634840E-003
31.87000, 8.350000000E+001, 3.036360070E-004, 1.737877359E-006, 1.318285765E-003
31.97000, 8.360000000E+001, 4.725067018E-004, 1.755575885E-006, 1.324981466E-003
32.07000, 8.370000000E+001, 2.349678034E-004, 1.693373441E-006, 1.301296830E-003
32.17000, 8.380000000E+001, 1.291462010E-004, 1.654340225E-006, 1.286211579E-003
32.27000, 8.390000000E+001, 2.055262615E-004, 1.654377608E-006, 1.286226111E-003
32.37000, 8.400000000E+001, 5.908334295E-006, 1.689240510E-006, 1.299707856E-003
32.47000, 8.410000000E+001, 1.003191885E-004, 1.710165983E-006, 1.307733147E-003
32.57000, 8.420000000E+001, 1.147935420E-004, 1.664133141E-006, 1.290012845E-003
32.67000, 8.430000000E+001, 2.237043804E-004, 1.691687682E-006, 1.300648946E-003
32.77000, 8.440000000E+001, -1.361920836E-004, 1.694474237E-006, 1.301719723E-003
32.87000, 8.450000000E+001, -1.567679542E-004, 1.737017375E-006, 1.317959550E-003
32.97000, 8.460000000E+001, -5.298836708E-005, 1.732880229E-006, 1.316389087E-003
33.07000, 8.470000000E+001, -4.930152549E-004, 1.732544939E-006, 1.316261729E-003
33.17000, 8.480000000E+001, 5.599472259E-004, 1.757329897E-006, 1.325643201E-003
33.27000, 8.490000000E+001, 3.915911581E-004, 1.723268532E-006, 1.312733230E-003
33.37000, 8.500000000E+001, -1.811799078E-004, 1.710530441E-006, 1.307872487E-003
33.47000, 8.510000000E+001, 6.891602311E-005, 1.664725422E-006, 1.290242389E-003
33.57000, 8.520000000E+001, -7.377420288E-005, 1.754526790E-006, 1.324585516E-003
33.67000, 8.530000000E+001, 4.121812393E-004, 1.747429729E-006, 1.321903828E-003
33.77000, 8.540000000E+001, -1.003424602E-005, 1.702376564E-006, 1.304751534E-003
33.87000, 8.550000000E+001, 8.269046446E-004, 1.646773042E-006, 1.283266551E-003
33.97000, 8.560000000E+001, -3.111013581E-004, 1.696219580E-006, 1.302389949E-003
34.07000, 8.570000000E+001, -6.742857454E-006, 1.737550207E-006, 1.318161677E-003
