Statistics_Analysis_Results, , , , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Min Value[Intensity],Max Value[Intensity],Root Mean Square[Intensity]
2017-06-13T13:22:40.1400000-03:00,9.100000000E+000,1.238408745E-003,1.120760353E-005,3.347775909E-003,8.674531599E+002,-1.244420419E-003,9.847152978E-003,3.390570818E-003
2017-06-13T13:22:40.2500000-03:00,9.210000000E+000,2.012544066E-003,7.966142245E-006,2.822435517E-003,8.671887652E+002,-2.050856710E-004,8.935876191E-003,3.336367628E-003
2017-06-13T13:22:40.3500000-03:00,9.310000000E+000,6.372969106E-004,9.767021371E-006,3.125223411E-003,8.670564671E+002,-2.579248743E-003,7.485232316E-003,3.014621722E-003
2017-06-13T13:22:40.4500000-03:00,9.410000000E+000,1.039694733E-003,8.177728936E-006,2.859672872E-003,8.673361582E+002,-6.851167418E-004,8.374650963E-003,2.889646609E-003
2017-06-13T13:22:40.5400000-03:00,9.500000000E+000,1.473460013E-003,1.156125543E-005,3.400184618E-003,8.671927239E+002,-2.085085027E-003,9.248760529E-003,3.528137739E-003
2017-06-13T13:22:40.6400000-03:00,9.600000000E+000,1.759185359E-003,7.797498603E-006,2.792400151E-003,8.672748930E+002,-5.543461884E-004,8.531522937E-003,3.166361160E-003
2017-06-13T13:22:40.7500000-03:00,9.710000000E+000,1.685823777E-003,6.144531724E-006,2.478816598E-003,8.672821700E+002,-2.974983072E-004,7.491548546E-003,2.881632833E-003
2017-06-13T13:22:40.8400000-03:00,9.800000000E+000,1.787368528E-003,7.479189912E-006,2.734810763E-003,8.672289782E+002,-5.567213520E-004,8.558182046E-003,3.137332476E-003
2017-06-13T13:22:40.9500000-03:00,9.910000000E+000,1.922257846E-003,6.296927614E-006,2.509367971E-003,8.672942401E+002,-1.430989127E-003,7.736355532E-003,3.048334663E-003
2017-06-13T13:22:41.0400000-03:00,1.000000000E+001,1.609318295E-003,9.482025419E-006,3.079289759E-003,8.672339601E+002,-1.382314949E-003,9.089904837E-003,3.319393380E-003
2017-06-13T13:22:41.1400000-03:00,1.010000000E+001,1.593465694E-003,1.176182986E-005,3.429552429E-003,8.673350005E+002,-8.136366378E-004,1.035640016E-002,3.604732001E-003
2017-06-13T13:22:41.2500000-03:00,1.021000000E+001,1.420320062E-003,8.689524447E-006,2.947799933E-003,8.672796843E+002,-1.339158858E-003,8.778930642E-003,3.121110509E-003
2017-06-13T13:22:41.3500000-03:00,1.031000000E+001,1.620132033E-003,9.610032122E-006,3.100005181E-003,8.674352370E+002,-9.940673439E-004,9.425608441E-003,3.341717908E-003
2017-06-13T13:22:41.4400000-03:00,1.040000000E+001,1.962092304E-003,8.079154324E-006,2.842385323E-003,8.673155960E+002,-2.091295784E-003,8.590538986E-003,3.321336586E-003
2017-06-13T13:22:41.5400000-03:00,1.050000000E+001,1.915169104E-003,1.124254831E-005,3.352990950E-003,8.672285248E+002,-6.784612196E-004,1.046543382E-002,3.696112684E-003
2017-06-13T13:22:41.6400000-03:00,1.060000000E+001,5.365702188E-004,1.078680573E-005,3.284327287E-003,8.671181502E+002,-4.107692745E-003,8.066589013E-003,3.142638917E-003
2017-06-13T13:22:41.7400000-03:00,1.070000000E+001,1.182222285E-003,1.192934254E-005,3.453888032E-003,8.672667804E+002,-1.986404182E-003,9.864378721E-003,3.464319495E-003
2017-06-13T13:22:41.8500000-03:00,1.081000000E+001,1.190690951E-003,1.070045948E-005,3.271155679E-003,8.672577567E+002,-1.885260688E-003,8.912141435E-003,3.305943810E-003
2017-06-13T13:22:41.9400000-03:00,1.090000000E+001,1.082358415E-003,1.050212955E-005,3.240698930E-003,8.673165559E+002,-2.642758656E-003,9.073771536E-003,3.241408028E-003
2017-06-13T13:22:42.0400000-03:00,1.100000000E+001,1.235013090E-003,4.223184793E-006,2.055038879E-003,8.673182630E+002,-1.198954298E-003,6.292256527E-003,2.297650837E-003
2017-06-13T13:22:42.1400000-03:00,1.110000000E+001,4.308059967E-004,1.013259525E-005,3.183173769E-003,8.672651373E+002,-1.914944034E-003,8.640930988E-003,3.031888048E-003
2017-06-13T13:22:42.2400000-03:00,1.120000000E+001,1.084239339E-003,1.685430593E-005,4.105399606E-003,8.671473288E+002,-2.702708822E-003,1.141719799E-002,4.019599509E-003
2017-06-13T13:22:42.3500000-03:00,1.131000000E+001,1.776361712E-003,5.688964047E-006,2.385154931E-003,8.673329404E+002,-3.357436217E-004,7.776183076E-003,2.865714198E-003
2017-06-13T13:22:42.4400000-03:00,1.140000000E+001,1.142044290E-003,1.215163783E-005,3.485919941E-003,8.673339244E+002,-2.072821604E-003,9.294992313E-003,3.479327666E-003
2017-06-13T13:22:42.5400000-03:00,1.150000000E+001,1.566264280E-003,8.866109305E-006,2.977601267E-003,8.673180625E+002,-1.660916139E-003,8.696710691E-003,3.214680364E-003
2017-06-13T13:22:42.6400000-03:00,1.160000000E+001,1.521603410E-003,7.268757651E-006,2.696063362E-003,8.671734177E+002,-1.012147986E-003,7.752287667E-003,2.962498076E-003
2017-06-13T13:22:42.7500000-03:00,1.171000000E+001,1.514659762E-003,5.313737112E-006,2.305154466E-003,8.673652951E+002,-4.598074302E-004,7.383966353E-003,2.649059469E-003
2017-06-13T13:22:42.8400000-03:00,1.180000000E+001,5.530358305E-004,1.195162731E-005,3.457112568E-003,8.672603400E+002,-2.118968870E-003,9.269361384E-003,3.305982055E-003
2017-06-13T13:22:42.9500000-03:00,1.191000000E+001,1.377888584E-003,9.249049075E-006,3.041224930E-003,8.674724937E+002,-6.806799793E-004,9.083245881E-003,3.181187499E-003
2017-06-13T13:22:43.0500000-03:00,1.201000000E+001,2.399529550E-003,1.120727742E-005,3.347727202E-003,8.673931359E+002,-5.835475749E-004,1.052863989E-002,3.964816066E-003
2017-06-13T13:22:43.1500000-03:00,1.211000000E+001,2.505971943E-003,3.399889841E-006,1.843879020E-003,8.673991590E+002,3.537726199E-004,7.013115566E-003,3.049921259E-003
2017-06-13T13:22:43.2500000-03:00,1.221000000E+001,1.625100038E-003,7.835596341E-006,2.799213522E-003,8.672509672E+002,-8.362164954E-004,8.711528033E-003,3.099342617E-003
2017-06-13T13:22:43.3500000-03:00,1.231000000E+001,2.164224159E-003,1.016061238E-005,3.187571549E-003,8.672279755E+002,-4.439626646E-004,1.021114178E-002,3.703447267E-003
2017-06-13T13:22:43.4500000-03:00,1.241000000E+001,1.919345406E-003,8.513158043E-006,2.917731661E-003,8.671921320E+002,-9.243519162E-004,9.139811620E-003,3.354271662E-003
2017-06-13T13:22:43.5400000-03:00,1.250000000E+001,1.475724149E-003,7.088231184E-006,2.662373224E-003,8.673537707E+002,-6.041151937E-004,8.160063066E-003,2.911771232E-003
2017-06-13T13:22:43.6500000-03:00,1.261000000E+001,1.774723535E-003,8.953875787E-006,2.992302757E-003,8.673487602E+002,-9.350532200E-004,9.204078466E-003,3.332963295E-003
2017-06-13T13:22:43.7500000-03:00,1.271000000E+001,1.225631100E-003,7.747958078E-006,2.783515417E-003,8.672766371E+002,-1.647951547E-003,7.820443250E-003,2.896419417E-003
2017-06-13T13:22:43.8500000-03:00,1.281000000E+001,2.582383471E-003,5.837153268E-006,2.416020130E-003,8.671485905E+002,-9.579688194E-004,7.751658559E-003,3.443440877E-003
2017-06-13T13:22:43.9500000-03:00,1.291000000E+001,1.034606356E-003,7.389027552E-006,2.718276578E-003,8.673600354E+002,-1.715327729E-003,7.156590931E-003,2.763771844E-003
2017-06-13T13:22:44.0400000-03:00,1.300000000E+001,7.936364628E-004,1.061532588E-005,3.258116923E-003,8.672653337E+002,-1.524142805E-003,8.892335929E-003,3.172649376E-003
2017-06-13T13:22:44.1500000-03:00,1.311000000E+001,2.069395011E-003,7.332094411E-006,2.707784041E-003,8.671865177E+002,1.284452010E-004,8.754555136E-003,3.286306889E-003
2017-06-13T13:22:44.2500000-03:00,1.321000000E+001,1.513659371E-003,8.276501226E-006,2.876890896E-003,8.672349641E+002,-1.160597429E-003,8.385597728E-003,3.106131786E-003
2017-06-13T13:22:44.3400000-03:00,1.330000000E+001,1.489027633E-003,9.209979090E-006,3.034794736E-003,8.673565573E+002,-1.239604200E-003,9.064887650E-003,3.225500174E-003
2017-06-13T13:22:44.4400000-03:00,1.340000000E+001,8.439427345E-004,1.086245778E-005,3.295824295E-003,8.671782432E+002,-1.792344963E-003,9.299903177E-003,3.219900211E-003
2017-06-13T13:22:44.5500000-03:00,1.351000000E+001,1.980293251E-003,5.920444995E-006,2.433196456E-003,8.672638234E+002,-6.651079748E-004,8.127844892E-003,3.030541063E-003
2017-06-13T13:22:44.6500000-03:00,1.361000000E+001,1.203081887E-003,6.828704588E-006,2.613179020E-003,8.672185431E+002,-1.156491577E-003,7.500287611E-003,2.741781476E-003
2017-06-13T13:22:44.7400000-03:00,1.370000000E+001,1.860249817E-003,1.308550562E-005,3.617389338E-003,8.672103073E+002,-8.024018025E-004,1.109838858E-002,3.884853914E-003
2017-06-13T13:22:44.8500000-03:00,1.381000000E+001,1.165913765E-003,7.771985457E-006,2.787828090E-003,8.672520470E+002,-1.855990500E-003,7.913329639E-003,2.875375875E-003
2017-06-13T13:22:44.9500000-03:00,1.391000000E+001,1.605978370E-003,1.082864214E-005,3.290690223E-003,8.672281924E+002,-1.039339346E-003,1.010706741E-002,3.493512016E-003
2017-06-13T13:22:45.0500000-03:00,1.401000000E+001,1.801574439E-003,1.361874118E-005,3.690357867E-003,8.671366472E+002,-1.086353906E-003,1.094918512E-002,3.918063065E-003
2017-06-13T13:22:45.1500000-03:00,1.411000000E+001,1.092492130E-003,8.127243431E-006,2.850832060E-003,8.673329043E+002,-1.474188175E-003,8.371765725E-003,2.901336836E-003
2017-06-13T13:22:45.2500000-03:00,1.421000000E+001,1.222548124E-003,7.994494509E-006,2.827453715E-003,8.673407564E+002,-9.625593666E-004,7.991272025E-003,2.932719089E-003
2017-06-13T13:22:45.3500000-03:00,1.431000000E+001,1.225020510E-003,6.823809562E-006,2.612242248E-003,8.673327851E+002,-1.763127628E-003,7.192298304E-003,2.750687869E-003
2017-06-13T13:22:45.4500000-03:00,1.441000000E+001,1.112574534E-003,8.632039308E-006,2.938033238E-003,8.672266086E+002,-2.074801130E-003,8.073682897E-003,2.985087255E-003
2017-06-13T13:22:45.5400000-03:00,1.450000000E+001,1.087069283E-003,9.124232041E-006,3.020634377E-003,8.672627866E+002,-2.151585184E-003,8.538681082E-003,3.048302496E-003
2017-06-13T13:22:45.6500000-03:00,1.461000000E+001,1.066158115E-003,1.258105910E-005,3.546978870E-003,8.672729373E+002,-3.144377610E-003,9.379035793E-003,3.509965352E-003
2017-06-13T13:22:45.7500000-03:00,1.471000000E+001,1.144163939E-003,9.564700416E-006,3.092684985E-003,8.671929618E+002,-1.512279618E-003,9.062409401E-003,3.132262289E-003
